country,iso3,dimension,was_clamped,clamp_direction,clamp_adjustment,distance_from_lower,distance_from_upper
Saudi Arabia,SAU,D4,False,NONE,-0.32,26.76,28.5
Senegal,SEN,D1,False,NONE,0.05,0.98,12.58
Senegal,SEN,D2,False,NONE,0.0,27.71,11.13
Senegal,SEN,D3,False,NONE,-0.31,18.63,7.23
Senegal,SEN,D4,False,NONE,0.34,21.72,7.16
El Salvador,SLV,D1,True,LOWER,1.55,0.07,20.06
El Salvador,SLV,D2,False,NONE,0.29,1.26,21.14
El Salvador,SLV,D3,False,NONE,-0.34,23.83,10.16
El Salvador,SLV,D4,False,NONE,0.44,14.66,22.2
Suriname,SUR,D1,True,LOWER,1.72,0.8,22.44
Suriname,SUR,D2,False,NONE,-0.35,41.26,4.24
Suriname,SUR,D3,False,NONE,0.21,18.43,21.21
Suriname,SUR,D4,False,NONE,-0.01,29.3,31.45
Slovenia,SVN,D1,True,LOWER,2.2,0.51,14.2
Slovenia,SVN,D2,False,NONE,-0.32,0.73,17.29
Slovenia,SVN,D3,False,NONE,0.4,6.57,7.94
Slovenia,SVN,D4,False,NONE,-0.43,10.31,10.83
Trinidad And Tobago,TTO,D1,False,NONE,-0.25,5.48,20.14
Trinidad And Tobago,TTO,D2,True,UPPER,-1.78,42.8,0.3
Trinidad And Tobago,TTO,D3,False,NONE,-0.44,12.92,31.68
Trinidad And Tobago,TTO,D4,False,NONE,-0.31,18.67,25.94
Tunisia,TUN,D1,False,NONE,-0.42,2.5,15.16
Tunisia,TUN,D2,False,NONE,0.13,19.37,20.29
Tunisia,TUN,D3,False,NONE,0.02,42.81,11.92
Tunisia,TUN,D4,False,NONE,-0.19,16.37,35.61
Uganda,UGA,D1,False,NONE,0.19,2.21,15.36
Uganda,UGA,D2,False,NONE,0.21,24.67,22.5
Uganda,UGA,D3,False,NONE,-0.08,26.11,15.24
Uganda,UGA,D4,False,NONE,-0.23,22.51,17.2
Uruguay,URY,D1,False,NONE,0.35,2.99,14.23
Uruguay,URY,D2,False,NONE,0.31,8.23,20.12
Uruguay,URY,D3,False,NONE,-0.31,18.13,17.65
Uruguay,URY,D4,False,NONE,-0.13,12.71,32.51
Uzbekistan,UZB,D1,True,LOWER,4.61,0.96,17.5
Uzbekistan,UZB,D2,False,NONE,-0.18,10.07,24.48
Uzbekistan,UZB,D3,False,NONE,-0.13,49.14,0.3
Uzbekistan,UZB,D4,False,NONE,-0.26,24.75,29.95
Yemen,YEM,D1,False,NONE,-0.18,0.3,16.9
Yemen,YEM,D2,False,NONE,0.46,13.99,29.21
Yemen,YEM,D3,False,NONE,-0.24,41.2,1.37
Yemen,YEM,D4,False,NONE,0.37,26.39,22.73
Afghanistan,AFG,D1,True,LOWER,6.18,0.64,29.76
Afghanistan,AFG,D2,False,NONE,-0.01,15.58,37.22
Afghanistan,AFG,D3,False,NONE,4.99,45.25,16.3
Afghanistan,AFG,D4,False,NONE,-16.18,19.57,50.59
Andorra,AND,D1,False,NONE,0.29,19.12,20.95
Andorra,AND,D2,False,NONE,0.42,22.35,29.68
Andorra,AND,D3,False,NONE,0.16,29.59,24.37
Andorra,AND,D4,False,NONE,0.48,36.89,30.28
Azerbaijan,AZE,D1,True,LOWER,0.33,0.07,26.84
Azerbaijan,AZE,D2,False,NONE,-0.08,17.33,22.63
Azerbaijan,AZE,D3,False,NONE,0.34,44.36,5.93
Azerbaijan,AZE,D4,False,NONE,-0.38,22.0,22.88
Burundi,BDI,D1,False,NONE,0.45,0.79,28.04
Burundi,BDI,D2,False,NONE,-0.47,9.19,33.84
Burundi,BDI,D3,False,NONE,-0.35,29.95,24.5
Burundi,BDI,D4,False,NONE,-0.38,14.07,54.77
Benin,BEN,D1,False,NONE,-0.16,0.94,26.68
Benin,BEN,D2,False,NONE,-0.11,29.94,10.22
Benin,BEN,D3,False,NONE,0.39,28.93,20.25
Benin,BEN,D4,False,NONE,0.31,20.98,45.29
Bahamas,BHS,D1,False,NONE,0.13,9.8,15.97
Bahamas,BHS,D2,False,NONE,-0.07,32.54,9.89
Bahamas,BHS,D3,False,NONE,-0.07,28.21,26.68
Bahamas,BHS,D4,False,NONE,0.27,30.6,35.66
Belarus,BLR,D1,False,NONE,0.37,3.82,25.71
Belarus,BLR,D2,False,NONE,-0.05,19.66,40.72
Belarus,BLR,D3,False,NONE,0.03,43.48,12.7
Belarus,BLR,D4,False,NONE,0.42,30.21,42.05
Belize,BLZ,D1,False,NONE,0.23,6.08,23.45
Belize,BLZ,D2,False,NONE,-0.13,34.94,17.61
Belize,BLZ,D3,False,NONE,-0.05,19.41,37.46
Belize,BLZ,D4,False,NONE,-0.39,24.4,44.0
Brunei,BRN,D1,True,LOWER,1.17,0.69,25.32
Brunei,BRN,D2,False,NONE,-0.31,8.55,42.33
Brunei,BRN,D3,False,NONE,-0.42,45.7,8.21
Brunei,BRN,D4,False,NONE,0.33,22.85,34.74
Botswana,BWA,D1,False,NONE,0.34,0.9,27.78
Botswana,BWA,D2,False,NONE,-0.05,17.28,19.98
Botswana,BWA,D3,False,NONE,0.4,37.74,16.3
Botswana,BWA,D4,False,NONE,-0.07,23.34,40.87
Central African Republic,CAF,D1,False,NONE,0.49,4.69,23.14
Central African Republic,CAF,D2,False,NONE,-0.46,26.47,27.2
Central African Republic,CAF,D3,False,NONE,-0.33,18.37,36.45
Central African Republic,CAF,D4,False,NONE,0.36,19.03,37.63
C̫te d'Ivoire,CIV,D1,True,LOWER,3.08,0.87,31.62
C̫te d'Ivoire,CIV,D2,False,NONE,-0.19,38.37,16.18
C̫te d'Ivoire,CIV,D3,False,NONE,-0.08,23.81,41.04
C̫te d'Ivoire,CIV,D4,False,NONE,0.29,40.15,31.44
Democratic Republic of the Congo,COD,D1,True,LOWER,2.59,0.86,16.58
Democratic Republic of the Congo,COD,D2,False,NONE,-0.25,31.12,24.56
Democratic Republic of the Congo,COD,D3,False,NONE,0.23,23.08,29.65
Democratic Republic of the Congo,COD,D4,False,NONE,-0.3,22.33,30.06
Cape Verde,CPV,D1,False,NONE,0.27,6.96,22.96
Cape Verde,CPV,D2,False,NONE,0.37,29.48,8.82
Cape Verde,CPV,D3,False,NONE,-0.48,25.3,13.31
Cape Verde,CPV,D4,False,NONE,-0.23,26.0,21.38
Cuba,CUB,D1,False,NONE,-0.01,2.64,24.82
Cuba,CUB,D2,False,NONE,-0.25,29.17,10.42
Cuba,CUB,D3,False,NONE,0.49,39.26,15.23
Cuba,CUB,D4,False,NONE,0.08,22.93,39.36
Djibouti,DJI,D1,True,LOWER,2.59,0.41,28.36
Djibouti,DJI,D2,False,NONE,-0.14,18.36,28.77
Djibouti,DJI,D3,False,NONE,0.11,38.95,21.79
Djibouti,DJI,D4,False,NONE,-0.07,24.64,55.58
Algeria,DZA,D1,True,LOWER,0.82,0.3,32.94
Algeria,DZA,D2,False,NONE,-0.39,23.79,39.2
Algeria,DZA,D3,False,NONE,-0.21,33.06,17.66
Algeria,DZA,D4,False,NONE,0.43,26.24,43.29
Eritrea,ERI,D1,False,NONE,-3.98,5.64,17.45
Eritrea,ERI,D2,False,NONE,0.04,17.04,31.74
Eritrea,ERI,D3,False,NONE,-3.06,32.18,25.7
Eritrea,ERI,D4,False,NONE,-9.58,16.31,50.07
Gabon,GAB,D1,False,NONE,-0.3,6.48,20.59
Gabon,GAB,D2,False,NONE,-0.32,15.41,20.37
Gabon,GAB,D3,False,NONE,0.42,21.27,25.05
Gabon,GAB,D4,False,NONE,0.03,16.09,40.0
Guinea,GIN,D1,True,LOWER,0.85,0.83,22.58
Guinea,GIN,D2,False,NONE,-0.49,30.43,25.19
Guinea,GIN,D3,False,NONE,0.23,33.67,22.13
Guinea,GIN,D4,False,NONE,-0.21,20.12,36.08
Gambia,GMB,D1,False,NONE,-0.3,3.98,26.68
Gambia,GMB,D2,False,NONE,-0.02,28.18,19.79
Gambia,GMB,D3,False,NONE,-0.48,29.18,33.47
Gambia,GMB,D4,False,NONE,0.16,20.83,48.09
Guinea-Bissau,GNB,D1,False,NONE,-0.38,7.55,16.27
Guinea-Bissau,GNB,D2,False,NONE,0.44,23.8,22.33
Guinea-Bissau,GNB,D3,False,NONE,-0.05,20.67,37.88
Guinea-Bissau,GNB,D4,False,NONE,-0.47,16.97,45.23
Equatorial Guinea,GNQ,D1,False,NONE,0.49,2.62,23.08
Equatorial Guinea,GNQ,D2,False,NONE,0.06,12.84,33.35
Equatorial Guinea,GNQ,D3,False,NONE,0.37,27.93,21.36
Equatorial Guinea,GNQ,D4,False,NONE,-0.03,23.05,47.62
Guyana,GUY,D1,False,NONE,0.22,9.24,23.11
Guyana,GUY,D2,False,NONE,0.5,29.52,29.4
Guyana,GUY,D3,False,NONE,-0.11,28.19,22.24
Guyana,GUY,D4,False,NONE,-0.03,16.67,37.13
Haiti,HTI,D1,True,LOWER,1.54,0.14,23.7
Haiti,HTI,D2,False,NONE,0.11,45.33,10.41
Haiti,HTI,D3,False,NONE,-0.09,20.0,36.47
Haiti,HTI,D4,False,NONE,-0.43,15.13,40.94
Cambodia,KHM,D1,False,NONE,-0.45,0.34,26.14
Cambodia,KHM,D2,False,NONE,0.01,17.12,32.51
Cambodia,KHM,D3,False,NONE,-0.17,33.69,21.98
Cambodia,KHM,D4,False,NONE,0.03,8.42,45.44
Laos,LAO,D1,False,NONE,-0.14,1.81,31.33
Laos,LAO,D2,False,NONE,-0.44,14.94,37.83
Laos,LAO,D3,False,NONE,3.07,32.3,19.18
Laos,LAO,D4,False,NONE,-1.74,14.66,55.26
Liberia,LBR,D1,False,NONE,-0.45,1.77,24.86
Liberia,LBR,D2,False,NONE,0.27,40.32,27.56
Liberia,LBR,D3,False,NONE,0.32,29.0,26.58
Liberia,LBR,D4,False,NONE,-0.04,28.1,39.58
Liechtenstein,LIE,D1,False,NONE,-0.15,30.07,8.88
Liechtenstein,LIE,D2,False,NONE,-0.36,12.88,34.08
Liechtenstein,LIE,D3,False,NONE,-0.18,48.07,7.93
Liechtenstein,LIE,D4,False,NONE,-0.26,45.05,21.72
Lesotho,LSO,D1,False,NONE,0.17,4.57,23.5
Lesotho,LSO,D2,False,NONE,-0.47,22.65,28.17
Lesotho,LSO,D3,False,NONE,-0.01,45.08,22.68
Lesotho,LSO,D4,False,NONE,-0.27,24.29,48.6
MAC,MAC,D1,False,NONE,-0.02,8.08,19.19
MAC,MAC,D2,False,NONE,0.0,30.75,17.54
MAC,MAC,D3,False,NONE,0.43,40.16,20.88
MAC,MAC,D4,False,NONE,0.35,43.17,28.13
Moldova,MDA,D1,True,LOWER,0.78,0.46,34.56
Moldova,MDA,D2,False,NONE,0.16,11.77,36.15
Moldova,MDA,D3,False,NONE,0.18,33.17,14.86
Moldova,MDA,D4,False,NONE,-0.2,21.29,38.54
Madagascar,MDG,D1,False,NONE,-2.76,7.74,18.87
Madagascar,MDG,D2,False,NONE,0.19,20.38,26.28
Madagascar,MDG,D3,False,NONE,0.49,33.45,20.87
Madagascar,MDG,D4,False,NONE,0.14,14.27,39.9
Maldives,MDV,D1,False,NONE,0.41,13.08,8.91
Maldives,MDV,D2,False,NONE,-0.39,10.38,20.22
Maldives,MDV,D3,False,NONE,0.19,44.05,4.53
Maldives,MDV,D4,False,NONE,0.45,22.69,30.25
Macedonia,MKD,D1,False,NONE,0.38,3.84,16.27
Macedonia,MKD,D2,False,NONE,-0.1,31.51,17.56
Macedonia,MKD,D3,False,NONE,0.19,39.31,7.61
Macedonia,MKD,D4,False,NONE,0.22,17.78,32.21
Mali,MLI,D1,False,NONE,0.46,9.11,16.62
Mali,MLI,D2,False,NONE,0.39,31.99,12.43
Mali,MLI,D3,False,NONE,0.13,33.63,20.18
Mali,MLI,D4,False,NONE,0.18,24.69,44.51
Malta,MLT,D1,False,NONE,-0.23,10.83,28.45
Malta,MLT,D2,False,NONE,-0.18,19.94,15.1
Malta,MLT,D3,False,NONE,-0.45,38.99,12.9
Malta,MLT,D4,False,NONE,0.16,27.73,26.67
Montenegro,MNE,D1,False,NONE,0.41,4.28,27.28
Montenegro,MNE,D2,False,NONE,0.38,27.95,27.01
Montenegro,MNE,D3,False,NONE,0.32,34.6,19.9
Montenegro,MNE,D4,False,NONE,0.25,23.0,20.48
Mauritania,MRT,D1,False,NONE,0.16,0.85,25.35
Mauritania,MRT,D2,False,NONE,0.48,18.05,31.58
Mauritania,MRT,D3,False,NONE,0.02,34.46,13.02
Mauritania,MRT,D4,False,NONE,0.23,20.24,39.28
Niger,NER,D1,False,NONE,0.25,6.64,18.57
Niger,NER,D2,False,NONE,-0.2,24.44,30.97
Niger,NER,D3,False,NONE,-0.33,30.61,30.52
Niger,NER,D4,False,NONE,0.47,11.38,53.3
NIR,NIR,D1,False,NONE,-0.34,11.7,21.76
NIR,NIR,D2,False,NONE,-0.42,16.87,24.98
NIR,NIR,D3,False,NONE,0.05,39.55,23.41
NIR,NIR,D4,False,NONE,-0.09,35.89,34.1
Papua New Guinea,PNG,D1,True,LOWER,9.97,0.21,38.03
Papua New Guinea,PNG,D2,False,NONE,0.06,25.69,18.43
Papua New Guinea,PNG,D3,False,NONE,0.42,22.92,40.55
Papua New Guinea,PNG,D4,False,NONE,-0.11,33.7,32.72
North Korea,PRK,D1,True,LOWER,5.6,0.98,31.1
North Korea,PRK,D2,True,LOWER,0.78,0.54,44.74
North Korea,PRK,D3,True,UPPER,-0.84,59.8,0.34
North Korea,PRK,D4,False,NONE,0.01,17.06,40.18
Palestine,PSE,D1,True,LOWER,1.49,0.08,29.76
Palestine,PSE,D2,False,NONE,0.37,33.09,17.3
Palestine,PSE,D3,False,NONE,-0.29,52.83,21.47
Palestine,PSE,D4,False,NONE,0.11,33.02,25.84
Rwanda,RWA,D1,True,LOWER,1.24,0.08,22.82
Rwanda,RWA,D2,False,NONE,-0.06,3.69,48.15
Rwanda,RWA,D3,False,NONE,0.4,40.15,8.7
Rwanda,RWA,D4,False,NONE,-12.8,23.55,49.46
Sudan,SDN,D1,False,NONE,0.19,9.15,14.61
Sudan,SDN,D2,False,NONE,0.15,13.07,32.93
Sudan,SDN,D3,False,NONE,0.33,36.66,9.68
Sudan,SDN,D4,False,NONE,-0.23,18.98,46.48
Somalia,SOM,D1,True,LOWER,3.56,0.25,27.44
Somalia,SOM,D2,False,NONE,-0.1,30.33,13.47
Somalia,SOM,D3,False,NONE,-0.03,12.2,32.15
Somalia,SOM,D4,False,NONE,0.47,17.16,32.11
South Sudan,SSD,D1,False,NONE,-0.38,0.63,26.47
South Sudan,SSD,D2,False,NONE,0.09,25.34,31.56
South Sudan,SSD,D3,False,NONE,-0.29,20.24,33.1
South Sudan,SSD,D4,False,NONE,0.06,15.1,35.44
Chad,TCD,D1,True,LOWER,2.33,0.69,23.72
Chad,TCD,D2,False,NONE,-0.16,18.38,20.44
Chad,TCD,D3,False,NONE,0.32,31.89,16.08
Chad,TCD,D4,False,NONE,0.02,22.72,55.12
Togo,TGO,D1,True,LOWER,0.88,0.65,27.57
Togo,TGO,D2,False,NONE,0.48,23.4,28.17
Togo,TGO,D3,False,NONE,-0.03,25.51,28.68
Togo,TGO,D4,False,NONE,0.37,23.23,38.14
Turkmenistan,TKM,D1,True,LOWER,2.0,0.98,28.16
Turkmenistan,TKM,D2,False,NONE,-0.48,0.84,47.26
Turkmenistan,TKM,D3,False,NONE,-0.17,55.84,6.38
Turkmenistan,TKM,D4,False,NONE,0.27,17.65,42.06
Antigua and Barbuda,ATG,D1,False,NONE,-1.52,37.0,57.0
Antigua and Barbuda,ATG,D2,False,NONE,1.51,62.0,32.0
Antigua and Barbuda,ATG,D3,False,NONE,2.59,40.0,54.0
Antigua and Barbuda,ATG,D4,False,NONE,3.83,47.0,47.0
Bahrain,BHR,D1,False,NONE,-2.46,27.0,67.0
Bahrain,BHR,D2,False,NONE,-0.13,41.0,53.0
Bahrain,BHR,D3,False,NONE,0.48,70.0,24.0
Bahrain,BHR,D4,False,NONE,-0.06,58.0,36.0
Barbados,BRB,D1,False,NONE,-0.22,43.0,51.0
Barbados,BRB,D2,False,NONE,3.23,62.0,32.0
Barbados,BRB,D3,False,NONE,0.07,54.0,40.0
Barbados,BRB,D4,False,NONE,0.0,49.0,45.0
Congo (Brazzaville),COG,D1,False,NONE,-0.28,22.0,72.0
Congo (Brazzaville),COG,D2,False,NONE,0.08,54.0,40.0
Congo (Brazzaville),COG,D3,False,NONE,-0.16,43.0,51.0
Congo (Brazzaville),COG,D4,False,NONE,0.4,42.0,52.0
Comoros,COM,D1,False,NONE,-0.03,19.0,75.0
Comoros,COM,D2,False,NONE,-0.2,31.0,63.0
Comoros,COM,D3,False,NONE,0.24,59.0,35.0
Comoros,COM,D4,False,NONE,-0.41,36.0,58.0
Dominica,DMA,D1,False,NONE,-0.11,30.0,64.0
Dominica,DMA,D2,False,NONE,0.16,57.0,37.0
Dominica,DMA,D3,False,NONE,0.03,46.0,48.0
Dominica,DMA,D4,False,NONE,-0.01,42.0,52.0
Micronesia (Fed. States),FSM,D1,False,NONE,-0.08,23.0,71.0
Micronesia (Fed. States),FSM,D2,False,NONE,23.32,59.0,35.0
Micronesia (Fed. States),FSM,D3,False,NONE,-15.22,37.0,57.0
Micronesia (Fed. States),FSM,D4,False,NONE,9.53,35.0,59.0
Grenada,GRD,D1,False,NONE,-1.11,37.0,57.0
Grenada,GRD,D2,False,NONE,-0.45,67.0,27.0
Grenada,GRD,D3,False,NONE,-0.16,45.0,49.0
Grenada,GRD,D4,False,NONE,0.19,44.0,50.0
Kiribati,KIR,D1,False,NONE,-3.23,15.0,79.0
Kiribati,KIR,D2,False,NONE,0.8,41.0,53.0
Kiribati,KIR,D3,False,NONE,0.06,49.0,45.0
Kiribati,KIR,D4,False,NONE,-1.89,23.0,71.0
Saint Kitts and Nevis,KNA,D1,False,NONE,5.08,35.0,59.0
Saint Kitts and Nevis,KNA,D2,False,NONE,1.63,62.0,32.0
Saint Kitts and Nevis,KNA,D3,False,NONE,-4.62,45.0,49.0
Saint Kitts and Nevis,KNA,D4,False,NONE,0.24,44.0,50.0
Saint Lucia,LCA,D1,False,NONE,0.39,43.0,51.0
Saint Lucia,LCA,D2,False,NONE,0.38,65.0,29.0
Saint Lucia,LCA,D3,False,NONE,0.49,40.0,54.0
Saint Lucia,LCA,D4,False,NONE,0.42,49.0,45.0
Marshall Islands,MHL,D1,False,NONE,-0.14,24.0,70.0
Marshall Islands,MHL,D2,False,NONE,8.77,52.0,42.0
Marshall Islands,MHL,D3,False,NONE,-0.15,56.0,38.0
Marshall Islands,MHL,D4,False,NONE,-0.37,29.0,65.0
Mauritius,MUS,D1,False,NONE,-9.07,35.0,59.0
Mauritius,MUS,D2,False,NONE,-1.66,45.0,49.0
Mauritius,MUS,D3,False,NONE,-4.39,52.0,42.0
Mauritius,MUS,D4,False,NONE,-1.26,55.0,39.0
Nauru,NRU,D1,False,NONE,-0.49,34.0,60.0
Nauru,NRU,D2,False,NONE,0.01,58.0,36.0
Nauru,NRU,D3,False,NONE,-0.12,45.0,49.0
Nauru,NRU,D4,False,NONE,-0.45,32.0,62.0
Palau,PLW,D1,False,NONE,-0.3,20.0,74.0
Palau,PLW,D2,False,NONE,0.37,41.0,53.0
Palau,PLW,D3,False,NONE,-0.44,48.0,46.0
Palau,PLW,D4,False,NONE,0.03,38.0,56.0
Paraguay,PRY,D1,False,NONE,2.47,23.0,71.0
Paraguay,PRY,D2,False,NONE,8.92,59.0,35.0
Paraguay,PRY,D3,False,NONE,0.85,62.0,32.0
Paraguay,PRY,D4,False,NONE,2.3,39.0,55.0
Solomon Islands,SLB,D1,False,NONE,2.14,17.0,77.0
Solomon Islands,SLB,D2,False,NONE,0.21,43.0,51.0
Solomon Islands,SLB,D3,False,NONE,0.43,58.0,36.0
Solomon Islands,SLB,D4,False,NONE,2.99,29.0,65.0
Sao Tome and Principe,STP,D1,False,NONE,-2.67,27.0,67.0
Sao Tome and Principe,STP,D2,False,NONE,0.15,61.0,33.0
Sao Tome and Principe,STP,D3,False,NONE,0.34,35.0,59.0
Sao Tome and Principe,STP,D4,False,NONE,0.09,32.0,62.0
Eswatini,SWZ,D1,False,NONE,0.81,20.0,74.0
Eswatini,SWZ,D2,False,NONE,9.87,48.0,46.0
Eswatini,SWZ,D3,False,NONE,-5.2,59.0,35.0
Eswatini,SWZ,D4,False,NONE,0.23,36.0,58.0
Seychelles,SYC,D1,False,NONE,0.19,32.0,62.0
Seychelles,SYC,D2,False,NONE,-0.43,55.0,39.0
Seychelles,SYC,D3,False,NONE,0.46,38.0,56.0
Seychelles,SYC,D4,False,NONE,-0.47,37.0,57.0
Timor-Leste,TLS,D1,False,NONE,0.23,21.0,73.0
Timor-Leste,TLS,D2,False,NONE,0.02,51.0,43.0
Timor-Leste,TLS,D3,False,NONE,0.08,49.0,45.0
Timor-Leste,TLS,D4,False,NONE,0.22,32.0,62.0
Tonga,TON,D1,False,NONE,-6.23,21.0,73.0
Tonga,TON,D2,False,NONE,0.3,40.0,54.0
Tonga,TON,D3,False,NONE,-5.68,62.0,32.0
Tonga,TON,D4,False,NONE,-2.26,34.0,60.0
Tuvalu,TUV,D1,False,NONE,-0.17,18.0,76.0
Tuvalu,TUV,D2,False,NONE,7.03,59.0,35.0
Tuvalu,TUV,D3,False,NONE,0.43,55.0,39.0
Tuvalu,TUV,D4,False,NONE,-0.42,28.0,66.0
Saint Vincent and the Grenadines,VCT,D1,False,NONE,-0.12,35.0,59.0
Saint Vincent and the Grenadines,VCT,D2,False,NONE,6.18,62.0,32.0
Saint Vincent and the Grenadines,VCT,D3,False,NONE,-0.19,46.0,48.0
Saint Vincent and the Grenadines,VCT,D4,False,NONE,0.15,44.0,50.0
Vanuatu,VUT,D1,False,NONE,0.06,21.0,73.0
Vanuatu,VUT,D2,False,NONE,1.9,52.0,42.0
Vanuatu,VUT,D3,False,NONE,-0.4,35.0,59.0
Vanuatu,VUT,D4,False,NONE,1.01,28.0,66.0
Samoa,WSM,D1,False,NONE,0.31,18.0,76.0
Samoa,WSM,D2,False,NONE,17.11,65.0,29.0
Samoa,WSM,D3,False,NONE,-6.79,60.0,34.0
Samoa,WSM,D4,False,NONE,-0.36,35.0,59.0
